player_id,player_display_name,position,position_group,season,week,season_type,game_id,team,opponent_team,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties
00-0026190,Calais Campbell,DE,DL,2022,1,REG,2022_01_BAL_NYJ,BAL,NYJ,2,0,2,1,1,0,1,1,1,0,0,0,0,0,0
00-0027647,Devin McCourty,FS,DB,2022,1,REG,2022_01_NE_MIA,NE,MIA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0027662,Carlos Dunlap,DE,DL,2022,1,REG,2022_01_KC_ARI,KC,ARI,3,0,1,1,11,0,1,11,1,0,0,0,0,0,0
00-0027723,Al Woods,DT,DL,2022,1,REG,2022_01_DEN_SEA,SEA,DEN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0027862,Tyson Alualu,DE,DL,2022,1,REG,2022_01_PIT_CIN,PIT,CIN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00-0027865,Brandon Graham,DE,DL,2022,1,REG,2022_01_PHI_DET,PHI,DET,0,0,1,0,0,0,0.5,5,1,0,0,0,0,0,0
00-0027872,Kareem Jackson,S,DB,2022,1,REG,2022_01_DEN_SEA,DEN,SEA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00-0027881,Jerry Hughes,DE,DL,2022,1,REG,2022_01_IND_HOU,HOU,IND,2,1,0,1,5,1,2,12,2,1,14,1,0,0,0
00-0027940,Von Miller,OLB,LB,2022,1,REG,2022_01_BUF_LA,BUF,LA,3,1,0,3,18,0,2,17,3,0,0,0,0,0,0
00-0027943,Patrick Peterson,CB,DB,2022,1,REG,2022_01_GB_MIN,MIN,GB,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
00-0027952,Robert Quinn,DE,DL,2022,1,REG,2022_01_SF_CHI,CHI,SF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00-0027962,Cameron Jordan,LB,LB,2022,1,REG,2022_01_NO_ATL,NO,ATL,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
00-0027969,Cameron Heyward,DE,DL,2022,1,REG,2022_01_PIT_CIN,PIT,CIN,2,0,0,1,5,0,1,5,3,0,0,0,0,0,0
00-0028008,Justin Houston,OLB,LB,2022,1,REG,2022_01_BAL_NYJ,BAL,NYJ,3,0,0,1,6,0,1,6,2,0,0,0,0,0,0
00-0028171,Lawrence Guy,DT,DL,2022,1,REG,2022_01_NE_MIA,NE,MIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0028278,Josh Bynes,ILB,LB,2022,1,REG,2022_01_BAL_NYJ,BAL,NYJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0028924,Tashaun Gipson,FS,DB,2022,1,REG,2022_01_SF_CHI,SF,CHI,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00-0029249,Melvin Ingram,LB,LB,2022,1,REG,2022_01_NE_MIA,MIA,NE,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0
00-0029255,Bobby Wagner,MLB,LB,2022,1,REG,2022_01_BUF_LA,LA,BUF,5,0,2,1,4,0,1,4,1,0,0,0,0,0,0
00-0029261,Casey Hayward,CB,DB,2022,1,REG,2022_01_NO_ATL,ATL,NO,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
00-0029530,Justin Bethel,CB,DB,2022,1,REG,2022_01_NE_MIA,MIA,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
