player_id,player_display_name,position,position_group,season,week,season_type,game_id,team,opponent_team,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties
00-0026190,Calais Campbell,DE,DL,2023,1,REG,2023_01_CAR_ATL,ATL,CAR,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
00-0027723,Al Woods,DT,DL,2023,1,REG,2023_01_BUF_NYJ,NYJ,BUF,1,0,0,1,2,0,1,2,1,0,0,0,0,0,0
00-0027865,Brandon Graham,DE,DL,2023,1,REG,2023_01_PHI_NE,PHI,NE,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0
00-0027872,Kareem Jackson,S,DB,2023,1,REG,2023_01_LV_DEN,DEN,LV,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0
00-0027943,Patrick Peterson,CB,DB,2023,1,REG,2023_01_SF_PIT,PIT,SF,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
00-0027962,Cameron Jordan,LB,LB,2023,1,REG,2023_01_TEN_NO,NO,TEN,2,0,3,0,0,0,0.5,0,1,0,0,2,0,0,0
00-0027969,Cameron Heyward,DE,DL,2023,1,REG,2023_01_SF_PIT,PIT,SF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00-0028008,Justin Houston,OLB,LB,2023,1,REG,2023_01_CAR_ATL,CAR,ATL,1,0,1,1,6,0,0,0,0,0,0,0,0,0,0
00-0028171,Lawrence Guy,DT,DL,2023,1,REG,2023_01_PHI_NE,NE,PHI,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
00-0028899,Rodney McLeod Jr.,FS,DB,2023,1,REG,2023_01_CIN_CLE,CLE,CIN,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
00-0028924,Tashaun Gipson,FS,DB,2023,1,REG,2023_01_SF_PIT,SF,PIT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00-0029255,Bobby Wagner,MLB,LB,2023,1,REG,2023_01_LA_SEA,SEA,LA,6,2,10,1,1,0,0,0,0,0,0,0,0,0,0
00-0029530,Justin Bethel,CB,DB,2023,1,REG,2023_01_MIA_LAC,MIA,LAC,2,1,1,0,0,0,0.5,4.5,1,0,0,0,0,0,0
00-0029542,Stephon Gilmore,CB,DB,2023,1,REG,2023_01_DAL_NYG,DAL,NYG,4,0,0,0,0,0,0,0,0,1,0,3,0,0,0
00-0029562,Lavonte David,OLB,LB,2023,1,REG,2023_01_TB_MIN,TB,MIN,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
