player_id,player_display_name,position,position_group,season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,air_yards_share,wopr,pacr,racr
00-0028002,Randall Cobb,WR,WR,2022,1,REG,2022_01_GB_MIN,GB,MIN,0,0,0,0,0,0,0,0,,,0,0,0,0,,2,3,14,0,55,4,2,0.889277842652518,0.0857142857142857,0.251141552511416,0.304370515329419,,0.254545454545455
00-0028063,Taiwan Jones,RB,RB,2022,1,REG,2022_01_BUF_LA,BUF,LA,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,
00-0029239,Brandon Bolden,RB,RB,2022,1,REG,2022_01_LV_LAC,LV,LAC,0,0,0,0,0,0,0,0,,,3,7,0,0,-2.0711178110214,2,2,21,1,13,8,1,2.54309680486323,0.0571428571428571,0.0381231671554252,0.112400502723083,,1.61538461538462
00-0029263,Russell Wilson,QB,QB,2022,1,REG,2022_01_DEN_SEA,DEN,SEA,29,42,340,1,0,275,230,13,15.1618857017008,7.82262453945672,1,2,0,0,-0.432216548244469,0,0,0,0,0,0,0,,0,0,0,1.23636363636364,
00-0029293,Marvin Jones,WR,WR,2022,1,REG,2022_01_JAX_WAS,JAX,WAS,0,0,0,0,0,0,0,0,,,0,0,0,0,,4,6,38,0,101,3,3,2.28417011687998,0.157894736842105,0.279005524861879,0.432145972666473,,0.376237623762376
00-0029604,Kirk Cousins,QB,QB,2022,1,REG,2022_01_GB_MIN,MIN,GB,23,32,277,2,0,164,152,12,9.27219855675757,5.16318659628591,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1.6890243902439,
00-0029701,Ryan Tannehill,QB,QB,2022,1,REG,2022_01_NYG_TEN,TEN,NYG,20,33,266,2,0,296,103,13,7.81907604918783,-0.142033590424445,2,7,0,1,1.43725097016431,0,0,0,0,0,0,0,,0,0,0,0.898648648648649,
00-0029892,Kyle Juszczyk,FB,RB,2022,1,REG,2022_01_SF_CHI,SF,CHI,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,2,0,0,7,0,0,-2.38486783113331,0.0769230769230769,0.0343137254901961,0.139404223227753,,0
00-0030035,Adam Thielen,WR,WR,2022,1,REG,2022_01_GB_MIN,MIN,GB,0,0,0,0,0,0,0,0,,,0,0,0,0,,3,4,36,0,27,12,2,0.497465591994114,0.129032258064516,0.164634146341463,0.308792289535799,,1.33333333333333
00-0030061,Zach Ertz,TE,TE,2022,1,REG,2022_01_KC_ARI,ARI,KC,0,0,0,0,0,0,0,0,,,0,0,0,0,,2,4,14,1,22,4,1,2.18885290452465,0.111111111111111,0.0823970037453183,0.22434456928839,,0.636363636363636
00-0030068,Marquise Goodwin,WR,WR,2022,1,REG,2022_01_DEN_SEA,SEA,DEN,0,0,0,0,0,0,0,0,,,0,0,0,0,,2,2,22,0,22,0,1,1.23339487586827,0.0740740740740741,0.152777777777778,0.218055555555556,,1
00-0030108,Ryan Griffin,TE,TE,2022,1,REG,2022_01_SF_CHI,CHI,SF,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,2,0,0,29,0,0,-1.03815594455227,0.117647058823529,0.179012345679012,0.301779230210603,,0
00-0030279,Keenan Allen,WR,WR,2022,1,REG,2022_01_LV_LAC,LAC,LV,0,0,0,0,0,0,0,0,,,0,0,0,0,,4,4,66,0,52,14,2,4.2673814696027,0.117647058823529,0.218487394957983,0.329411764705882,,1.26923076923077
00-0030288,Rex Burkhead,RB,RB,2022,1,REG,2022_01_IND_HOU,HOU,IND,0,0,0,0,0,0,0,0,,,14,40,0,1,-4.09934877970954,5,8,30,0,3,30,1,-1.54419890709687,0.222222222222222,0.0112781954887218,0.341228070175439,,10
00-0030431,Robert Woods,WR,WR,2022,1,REG,2022_01_NYG_TEN,TEN,NYG,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,2,13,0,30,0,1,-0.160423946334049,0.0645161290322581,0.101351351351351,0.167720139494333,,0.433333333333333
00-0030506,Travis Kelce,TE,TE,2022,1,REG,2022_01_KC_ARI,KC,ARI,0,0,0,0,0,0,0,0,,,0,0,0,0,,8,9,121,1,95,34,7,11.6258695430796,0.230769230769231,0.3125,0.564903846153846,,1.27368421052632
00-0030565,Geno Smith,QB,QB,2022,1,REG,2022_01_DEN_SEA,SEA,DEN,23,28,195,2,0,144,89,9,8.27417397450381,12.4497673025838,6,14,0,1,-2.87951385427732,0,0,0,0,0,0,0,,0,0,0,1.35416666666667,
00-0030578,Cordarrelle Patterson,RB,RB,2022,1,REG,2022_01_NO_ATL,ATL,NO,0,0,0,0,0,0,0,0,,,22,120,1,10,2.39526598603698,3,5,16,0,18,10,1,-0.331595937844891,0.15625,0.0638297872340426,0.27905585106383,,0.888888888888889
00-0030874,Damien Williams,RB,RB,2022,1,REG,2022_01_NO_ATL,ATL,NO,0,0,0,0,0,0,0,0,,,2,2,0,0,-1.12978465296328,0,0,0,0,0,0,0,,0,0,0,,
00-0031236,Brandin Cooks,WR,WR,2022,1,REG,2022_01_IND_HOU,HOU,IND,0,0,0,0,0,0,0,0,,,0,0,0,0,,7,12,82,0,131,11,4,-1.16668155076629,0.333333333333333,0.492481203007519,0.844736842105263,,0.625954198473283
00-0031260,Logan Thomas,TE,TE,2022,1,REG,2022_01_JAX_WAS,WAS,JAX,0,0,0,0,0,0,0,0,,,0,0,0,0,,3,6,45,0,70,19,2,3.3000864693895,0.146341463414634,0.241379310344828,0.388477712363331,,0.642857142857143
00-0031273,Cameron Brate,TE,TE,2022,1,REG,2022_01_TB_DAL,TB,DAL,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,3,7,0,15,1,1,-1.44549179909518,0.111111111111111,0.0491803278688525,0.201092896174863,,0.466666666666667
00-0031280,Derek Carr,QB,QB,2022,1,REG,2022_01_LV_LAC,LV,LAC,22,37,295,2,3,341,126,17,-5.49295887027065,-2.38250255584717,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0.865102639296188,
00-0031325,Sammy Watkins,WR,WR,2022,1,REG,2022_01_GB_MIN,GB,MIN,0,0,0,0,0,0,0,0,,,0,0,0,0,,3,3,18,0,2,16,2,1.19284095382318,0.0857142857142857,0.0091324200913242,0.134964122635356,,9
00-0031376,Jerick McKinnon,RB,RB,2022,1,REG,2022_01_KC_ARI,KC,ARI,0,0,0,0,0,0,0,0,,,4,22,0,1,-0.43029585108161,3,4,27,0,-3,41,1,1.37782717481605,0.102564102564103,-0.00986842105263158,0.146938259109312,,-9
00-0031381,Davante Adams,WR,WR,2022,1,REG,2022_01_LV_LAC,LV,LAC,0,0,0,0,0,0,0,0,-1.80456407845486,,0,0,0,0,,10,17,141,1,177,62,8,5.19271303576534,0.485714285714286,0.519061583577713,1.09191453707583,,0.796610169491525
00-0031382,Jarvis Landry,WR,WR,2022,1,REG,2022_01_NO_ATL,NO,ATL,0,0,0,0,0,0,0,0,,,0,0,0,0,,7,9,114,0,123,15,4,4.50133623124502,0.28125,0.419795221843003,0.715731655290102,,0.926829268292683
00-0031384,Richard Rodgers,TE,TE,2022,1,REG,2022_01_LV_LAC,LAC,LV,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,1,0,0,1,0,0,-0.229189833567943,0.0294117647058824,0.00420168067226891,0.0470588235294118,,0
00-0031408,Mike Evans,WR,WR,2022,1,REG,2022_01_TB_DAL,TB,DAL,0,0,0,0,0,0,0,0,,,0,0,0,0,,5,7,71,1,90,10,5,2.65326032391749,0.259259259259259,0.295081967213115,0.595446265938069,,0.788888888888889
00-0031428,Allen Robinson,WR,WR,2022,1,REG,2022_01_BUF_LA,LA,BUF,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,2,12,0,28,0,0,-2.10468805202981,0.0487804878048781,0.117154811715481,0.155179099908154,,0.428571428571429
00-0031503,Jameis Winston,QB,QB,2022,1,REG,2022_01_NO_ATL,NO,ATL,23,34,269,2,0,293,62,12,2.28877283550773,7.23605286329985,2,9,0,0,-0.977529558818787,0,0,0,0,0,0,0,,0,0,0,0.918088737201365,
00-0031544,Amari Cooper,WR,WR,2022,1,REG,2022_01_CLE_CAR,CLE,CAR,0,0,0,0,0,0,0,0,,,0,0,0,0,,3,6,17,0,63,6,0,-4.69807069428498,0.2,0.254032258064516,0.477822580645161,,0.26984126984127
00-0031547,DeVante Parker,WR,WR,2022,1,REG,2022_01_NE_MIA,NE,MIA,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,2,9,0,26,5,1,-5.29923196486197,0.0666666666666667,0.0931899641577061,0.165232974910394,,0.346153846153846
00-0031549,Nelson Agholor,WR,WR,2022,1,REG,2022_01_NE_MIA,NE,MIA,0,0,0,0,0,0,0,0,,,0,0,0,0,,3,5,28,0,52,23,1,-1.82188996870536,0.166666666666667,0.186379928315412,0.380465949820789,,0.538461538461538
00-0031588,Stefon Diggs,WR,WR,2022,1,REG,2022_01_BUF_LA,BUF,LA,0,0,0,0,0,0,0,0,,,0,0,0,0,,8,9,122,1,99,27,5,10.8274558605626,0.290322580645161,0.436123348017621,0.740770214580077,,1.23232323232323
00-0031595,Michael Burton,FB,RB,2022,1,REG,2022_01_KC_ARI,KC,ARI,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,
00-0031610,Darren Waller,TE,TE,2022,1,REG,2022_01_LV_LAC,LV,LAC,0,0,0,0,0,0,0,0,,,0,0,0,0,,4,6,79,0,83,27,4,0.025576882332512,0.171428571428571,0.243401759530792,0.427524088814411,,0.951807228915663
00-0031687,Raheem Mostert,RB,RB,2022,1,REG,2022_01_NE_MIA,MIA,NE,0,0,0,0,0,0,0,0,,,5,16,0,2,-0.576663784158882,1,1,16,0,2,14,1,0.907143781427294,0.032258064516129,0.00727272727272727,0.0534780058651026,,8
00-0031690,Eric Tomlinson,TE,TE,2022,1,REG,2022_01_DEN_SEA,DEN,SEA,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,1,0,0,3,0,0,-0.407143039745279,0.024390243902439,0.0109090909090909,0.0442217294900222,,0
00-0031763,DeAndre Carter,WR,WR,2022,1,REG,2022_01_LV_LAC,LAC,LV,0,0,0,0,0,0,0,0,,,0,0,0,0,,3,4,64,1,77,5,3,4.72362183278892,0.117647058823529,0.323529411764706,0.402941176470588,,0.831168831168831
00-0031941,Jamison Crowder,WR,WR,2022,1,REG,2022_01_BUF_LA,BUF,LA,0,0,0,0,0,0,0,0,,,0,0,0,0,,3,4,28,0,24,16,3,-0.835465132608078,0.129032258064516,0.105726872246696,0.267557197669461,,1.16666666666667
00-0032054,Breshad Perriman,WR,WR,2022,1,REG,2022_01_TB_DAL,TB,DAL,0,0,0,0,0,0,0,0,,,1,-7,0,0,-2.18240024754778,0,3,0,0,86,0,0,-1.94337867377962,0.111111111111111,0.281967213114754,0.364043715846995,,0
00-0032063,Mike Davis,RB,RB,2022,1,REG,2022_01_BAL_NYJ,BAL,NYJ,0,0,0,0,0,0,0,0,,,2,11,0,1,-0.137399752391502,0,0,0,0,0,0,0,,0,0,0,,
00-0032104,Ameer Abdullah,RB,RB,2022,1,REG,2022_01_LV_LAC,LV,LAC,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,1,0,0,17,0,0,-0.778982576914132,0.0285714285714286,0.0498533724340176,0.0777545035609552,,0
00-0032128,Chris Conley,WR,WR,2022,1,REG,2022_01_IND_HOU,HOU,IND,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,2,0,0,18,0,0,-2.07062873849645,0.0555555555555556,0.0676691729323308,0.130701754385965,,0
00-0032141,Geoff Swaim,TE,TE,2022,1,REG,2022_01_NYG_TEN,TEN,NYG,0,0,0,0,0,0,0,0,,,0,0,0,0,,3,4,19,0,4,19,1,0.260949969582725,0.129032258064516,0.0135135135135135,0.203007846556234,,4.75
00-0032144,Melvin Gordon,RB,RB,2022,1,REG,2022_01_DEN_SEA,DEN,SEA,0,0,0,0,0,0,0,0,,,12,58,0,2,-4.17942285357276,2,2,14,0,7,7,0,0.000340620123984614,0.0487804878048781,0.0254545454545455,0.0909889135254989,,2
00-0032200,Ty Montgomery,WR,WR,2022,1,REG,2022_01_NE_MIA,NE,MIA,0,0,0,0,0,0,0,0,,,2,-2,0,0,-3.09117927588522,3,4,15,1,13,7,1,2.18084644415649,0.133333333333333,0.0465949820788531,0.232616487455197,,1.15384615384615
00-0032208,Phillip Dorsett,WR,WR,2022,1,REG,2022_01_IND_HOU,HOU,IND,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,1,0,0,5,0,0,-0.886862312210724,0.0277777777777778,0.018796992481203,0.0548245614035088,,0
00-0032211,Tyler Lockett,WR,WR,2022,1,REG,2022_01_DEN_SEA,SEA,DEN,0,0,0,0,0,0,0,0,,,0,0,0,0,,3,4,28,0,29,5,2,2.71325352042913,0.148148148148148,0.201388888888889,0.363194444444444,,0.96551724137931
00-0032214,Tyler Kroft,TE,TE,2022,1,REG,2022_01_SF_CHI,SF,CHI,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,2,9,0,33,3,0,-0.324232539511286,0.0769230769230769,0.161764705882353,0.228619909502262,,0.272727272727273
00-0032268,Marcus Mariota,QB,QB,2022,1,REG,2022_01_NO_ATL,ATL,NO,20,33,215,0,0,282,78,8,5.02130332992631,-6.94174077361822,12,72,1,3,-1.74504733912181,0,0,0,0,0,0,0,,0,0,0,0.762411347517731,
00-0032385,Sterling Shepard,WR,WR,2022,1,REG,2022_01_NYG_TEN,NYG,TEN,0,0,0,0,0,0,0,0,,,0,0,0,0,,2,4,71,1,42,28,1,4.23054154589772,0.19047619047619,0.35,0.530714285714286,,1.69047619047619
00-0032392,Austin Hooper,TE,TE,2022,1,REG,2022_01_NYG_TEN,TEN,NYG,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,2,6,0,10,2,0,-0.0907714960048907,0.0645161290322581,0.0337837837837838,0.120422842197036,,0.6
00-0032398,Chris Moore,WR,WR,2022,1,REG,2022_01_IND_HOU,HOU,IND,0,0,0,0,0,0,0,0,,,0,0,0,0,,3,3,31,0,15,16,2,3.35801960341632,0.0833333333333333,0.056390977443609,0.164473684210526,,2.06666666666667
00-0032436,Jeff Driskel,QB,QB,2022,1,REG,2022_01_IND_HOU,HOU,IND,0,0,0,0,0,0,0,0,,,1,5,0,1,1.03694689669646,0,0,0,0,0,0,0,,0,0,0,,
00-0032464,Kalif Raymond,WR,WR,2022,1,REG,2022_01_PHI_DET,DET,PHI,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,2,0,0,39,0,0,-1.29765780403977,0.0540540540540541,0.127450980392157,0.170296767355591,,0
00-0032602,J.D. McKissic,RB,RB,2022,1,REG,2022_01_JAX_WAS,WAS,JAX,0,0,0,0,0,0,0,0,,,3,8,0,1,-0.989754099282436,3,3,20,0,1,19,1,0.894871998389252,0.0731707317073171,0.00344827586206897,0.112169890664424,,20
00-0032688,Robbie Chosen,WR,WR,2022,1,REG,2022_01_CLE_CAR,CAR,CLE,0,0,0,0,0,0,0,0,,,0,0,0,0,,5,8,102,1,74,47,1,3.06748033617623,0.307692307692308,0.432748538011696,0.764462438146649,,1.37837837837838
00-0032725,Stephen Anderson,TE,TE,2022,1,REG,2022_01_KC_ARI,ARI,KC,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,
00-0032764,Derrick Henry,RB,RB,2022,1,REG,2022_01_NYG_TEN,TEN,NYG,0,0,0,0,0,0,0,0,,,21,82,0,1,-4.73318183934316,0,1,0,0,-1,0,0,-1.43586486280396,0.032258064516129,-0.00337837837837838,0.0460222319093287,,0
00-0032765,Michael Thomas,WR,WR,2022,1,REG,2022_01_NO_ATL,NO,ATL,0,0,0,0,0,0,0,0,,,0,0,0,0,,5,8,57,2,88,5,4,4.77880729257595,0.25,0.300341296928328,0.585238907849829,,0.647727272727273
00-0032775,Demarcus Robinson,WR,WR,2022,1,REG,2022_01_BAL_NYJ,BAL,NYJ,0,0,0,0,0,0,0,0,,,0,0,0,0,,2,4,19,0,41,9,1,-1.53970340837259,0.137931034482759,0.113888888888889,0.28661877394636,,0.463414634146342
00-0032918,C.J. Ham,FB,RB,2022,1,REG,2022_01_GB_MIN,MIN,GB,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,1,6,0,-5,11,1,0.457903222646564,0.032258064516129,-0.0304878048780488,0.0270456333595594,,-1.2
00-0032950,Carson Wentz,QB,QB,2022,1,REG,2022_01_JAX_WAS,WAS,JAX,27,41,313,4,2,290,178,16,8.64984822159773,-0.16036397073327,6,12,0,0,0.314388236263767,0,0,0,0,0,0,0,,0,0,0,1.07931034482759,
00-0032975,Jonathan Williams,RB,RB,2022,1,REG,2022_01_JAX_WAS,WAS,JAX,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,
00-0033009,Tyler Boyd,WR,WR,2022,1,REG,2022_01_PIT_CIN,CIN,PIT,0,0,0,0,0,0,0,0,,,0,0,0,0,,4,7,33,1,87,1,3,-7.10469834081596,0.132075471698113,0.233870967741935,0.361822884966525,,0.379310344827586
00-0033040,Tyreek Hill,WR,WR,2022,1,REG,2022_01_NE_MIA,MIA,NE,0,0,0,0,0,0,0,0,,,1,6,0,0,0.180254671024159,8,12,94,0,109,40,5,0.810912940840554,0.387096774193548,0.396363636363636,0.858099706744868,,0.862385321100918
00-0033045,Ezekiel Elliott,RB,RB,2022,1,REG,2022_01_TB_DAL,DAL,TB,0,0,0,0,0,0,0,0,,,10,52,0,3,1.22217419929802,1,2,-3,0,-6,0,0,-1.40845009917393,0.0487804878048781,-0.0168067226890756,0.0614060258249641,,0.5
00-0033077,Dak Prescott,QB,QB,2022,1,REG,2022_01_TB_DAL,DAL,TB,14,29,134,0,1,202,56,6,-12.4829248921897,-22.9658827699464,2,11,0,1,1.28272136487067,0,0,0,0,0,0,0,,0,0,0,0.663366336633663,
00-0033090,Hunter Henry,TE,TE,2022,1,REG,2022_01_NE_MIA,NE,MIA,0,0,0,0,0,0,0,0,,,0,0,0,0,,2,3,20,0,38,5,1,-2.37663300195709,0.1,0.136200716845878,0.245340501792115,,0.526315789473684
00-0033106,Jared Goff,QB,QB,2022,1,REG,2022_01_PHI_DET,DET,PHI,21,37,215,2,1,306,119,12,-2.11207604219089,-11.9993035857742,2,9,0,1,1.54892839444801,0,0,0,0,0,0,0,,0,0,0,0.702614379084967,
00-0033110,Tyler Higbee,TE,TE,2022,1,REG,2022_01_BUF_LA,LA,BUF,0,0,0,0,0,0,0,0,,,0,0,0,0,,5,11,39,0,19,27,4,-9.24252387980232,0.268292682926829,0.0794979079497908,0.458087559955098,,2.05263157894737
00-0033114,Mike Thomas,WR,WR,2022,1,REG,2022_01_PIT_CIN,CIN,PIT,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,5,5,0,64,1,0,-1.60990808923077,0.0943396226415094,0.172043010752688,0.261939541489146,,0.078125
00-0033118,Kenyan Drake,RB,RB,2022,1,REG,2022_01_BAL_NYJ,BAL,NYJ,0,0,0,0,0,0,0,0,,,11,31,0,1,-3.53044704534113,1,1,15,0,-3,18,1,1.08740039600525,0.0344827586206897,-0.00833333333333333,0.0458908045977011,,-5
00-0033119,Jacoby Brissett,QB,QB,2022,1,REG,2022_01_CLE_CAR,CLE,CAR,18,34,147,1,0,248,57,7,-7.34691728876465,-2.93087095022202,4,10,0,1,1.60133951250464,0,0,0,0,0,0,0,,0,0,0,0.592741935483871,
00-0033217,Mo Alie-Cox,TE,TE,2022,1,REG,2022_01_IND_HOU,IND,HOU,0,0,0,0,0,0,0,0,,,0,0,0,0,,2,2,26,0,13,13,2,2.41907083452679,0.0408163265306122,0.0415335463258786,0.0902979722240334,,2
00-0033246,Johnny Mundt,TE,TE,2022,1,REG,2022_01_GB_MIN,MIN,GB,0,0,0,0,0,0,0,0,,,0,0,0,0,,3,3,17,0,3,14,1,0.239877821877599,0.0967741935483871,0.0182926829268293,0.157966168371361,,5.66666666666667
00-0033251,Zach Pascal,WR,WR,2022,1,REG,2022_01_PHI_DET,PHI,DET,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,1,7,0,3,4,1,1.67167435679585,0.0344827586206897,0.0230769230769231,0.0678779840848806,,2.33333333333333
00-0033280,Christian McCaffrey,RB,RB,2022,1,REG,2022_01_CLE_CAR,CAR,CLE,0,0,0,0,0,0,0,0,,,10,33,1,3,0.885997474419865,4,5,24,0,-12,36,1,1.36495555459987,0.192307692307692,-0.0701754385964912,0.239338731443995,,-2
00-0033282,Curtis Samuel,WR,WR,2022,1,REG,2022_01_JAX_WAS,WAS,JAX,0,0,0,0,0,0,0,0,,,4,17,0,1,-3.64176881016465,8,11,55,1,11,48,5,2.98890951514477,0.268292682926829,0.0379310344827586,0.428990748528175,,5
00-0033292,Trent Taylor,WR,WR,2022,1,REG,2022_01_PIT_CIN,CIN,PIT,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,
00-0033293,Aaron Jones,RB,RB,2022,1,REG,2022_01_GB_MIN,GB,MIN,0,0,0,0,0,0,0,0,,,5,49,0,3,2.59088060789509,3,5,27,0,-4,36,1,-0.272080201772042,0.142857142857143,-0.0182648401826484,0.20150032615786,,-6.75
00-0033307,Kendrick Bourne,WR,WR,2022,1,REG,2022_01_NE_MIA,NE,MIA,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,1,41,0,36,5,1,2.68740234139841,0.0333333333333333,0.129032258064516,0.140322580645161,,1.13888888888889
00-0033308,Matt Breida,RB,RB,2022,1,REG,2022_01_NYG_TEN,NYG,TEN,0,0,0,0,0,0,0,0,,,5,24,0,1,1.31016525620362,0,0,0,0,0,0,0,,0,0,0,,
00-0033357,Taysom Hill,TE,TE,2022,1,REG,2022_01_NO_ATL,NO,ATL,0,0,0,0,0,0,0,0,,,4,81,1,2,7.00820095359813,1,1,2,0,2,0,0,-0.273274828447029,0.03125,0.0068259385665529,0.051653156996587,,1
00-0033376,Patrick Ricard,RB,RB,2022,1,REG,2022_01_BAL_NYJ,BAL,NYJ,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,1,7,0,2,5,0,0.275179107673466,0.0344827586206897,0.00555555555555556,0.0556130268199234,,3.5
00-0033386,Cody Hollister,WR,WR,2022,1,REG,2022_01_NYG_TEN,TEN,NYG,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,1,22,0,22,0,1,1.26875928096706,0.032258064516129,0.0743243243243243,0.100414123801221,,1
00-0033439,Pharaoh Brown,TE,TE,2022,1,REG,2022_01_IND_HOU,HOU,IND,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,1,17,0,10,7,1,0.91947395959869,0.0277777777777778,0.037593984962406,0.0679824561403509,,1.7
00-0033455,Anthony Firkser,TE,TE,2022,1,REG,2022_01_NO_ATL,ATL,NO,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,2,6,0,8,2,0,-1.78122853912646,0.0625,0.0283687943262411,0.113608156028369,,0.75
00-0033466,Isaiah McKenzie,WR,WR,2022,1,REG,2022_01_BUF_LA,BUF,LA,0,0,0,0,0,0,0,0,,,0,0,0,0,,2,3,19,1,23,1,2,-2.78102386649698,0.0967741935483871,0.101321585903084,0.216086400454739,,0.826086956521739
00-0033526,Samaje Perine,RB,RB,2022,1,REG,2022_01_PIT_CIN,CIN,PIT,0,0,0,0,0,0,0,0,,,1,4,0,0,-0.120145155349746,3,5,33,0,48,33,1,0.996178992179921,0.0943396226415094,0.129032258064516,0.231832014607426,,0.6875
00-0033536,Mike Williams,WR,WR,2022,1,REG,2022_01_LV_LAC,LAC,LV,0,0,0,0,0,0,0,0,,,0,0,0,0,,2,4,10,0,14,9,0,-2.61230351849936,0.117647058823529,0.0588235294117647,0.217647058823529,,0.714285714285714
00-0033553,James Conner,RB,RB,2022,1,REG,2022_01_KC_ARI,ARI,KC,0,0,0,0,0,0,0,0,,,10,26,1,3,-0.850391329469858,5,6,29,0,7,38,3,-0.698286199301947,0.166666666666667,0.0262172284644195,0.268352059925094,,4.14285714285714
00-0033555,Mack Hollins,WR,WR,2022,1,REG,2022_01_LV_LAC,LV,LAC,0,0,0,0,0,0,0,0,,,0,0,0,0,,1,1,16,0,15,1,1,2.40348940889817,0.0285714285714286,0.0439882697947214,0.0736489317134478,,1.06666666666667
00-0033572,Jamal Agnew,WR,WR,2022,1,REG,2022_01_JAX_WAS,JAX,WAS,0,0,0,0,0,0,0,0,,,1,6,0,1,1.50477002712432,1,1,6,0,-2,8,0,0.340537807671353,0.0263157894736842,-0.00552486187845304,0.0356062808956092,,0
