player_id,player_display_name,position,position_group,season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,air_yards_share,wopr,pacr,racr
00-0019596,Tom Brady,QB,QB,2022,1,REG,2022_01_TB_DAL,TB,DAL,18,27,212,1,1,305,87,9,1.05085355477425,3.29023467169868,2,-1,0,0,-1.43716751458123,0,0,0,0,0,0,0,,0,0,0,0.695081967213115,
00-0023459,Aaron Rodgers,QB,QB,2022,1,REG,2022_01_GB_MIN,GB,MIN,22,34,195,0,1,190,134,9,-11.6275446414365,-2.78477072715759,1,-1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1.02631578947368,
00-0026143,Matt Ryan,QB,QB,2022,1,REG,2022_01_IND_HOU,IND,HOU,32,50,352,1,1,313,176,20,3.00478438085117,-4.77066757727642,4,12,0,2,-4.4179510344984,0,0,0,0,0,0,0,,0,0,0,1.12460063897764,
00-0026158,Joe Flacco,QB,QB,2022,1,REG,2022_01_BAL_NYJ,NYJ,BAL,37,59,309,1,1,286,139,18,-7.11291638909344,-4.06291720114256,1,0,0,0,-1.23062672500964,0,0,0,0,0,0,0,,0,0,0,1.08041958041958,
00-0026197,Chad Henne,QB,QB,2022,1,REG,2022_01_KC_ARI,KC,ARI,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,
00-0026498,Matthew Stafford,QB,QB,2022,1,REG,2022_01_BUF_LA,LA,BUF,29,41,240,1,3,239,124,14,-16.7454528275537,-0.592031493419554,1,2,0,1,0.15880790958181,0,0,0,0,0,0,0,,0,0,0,1.00418410041841,
00-0027691,Andre Roberts,WR,WR,2022,1,REG,2022_01_CLE_CAR,CAR,CLE,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,
00-0027942,A.J. Green,WR,WR,2022,1,REG,2022_01_KC_ARI,ARI,KC,0,0,0,0,0,0,0,0,,,0,0,0,0,,2,4,13,0,42,0,1,-3.77825655120239,0.111111111111111,0.157303370786517,0.276779026217228,,0.30952380952381
00-0027944,Julio Jones,WR,WR,2022,1,REG,2022_01_TB_DAL,TB,DAL,0,0,0,0,0,0,0,0,,,2,17,0,2,1.33296898548724,3,5,69,0,110,15,2,2.73006536544036,0.185185185185185,0.360655737704918,0.53023679417122,,0.627272727272727
00-0027966,Mark Ingram,RB,RB,2022,1,REG,2022_01_NO_ATL,NO,ATL,0,0,0,0,0,0,0,0,,,4,22,0,2,1.31744705901667,1,1,1,0,-6,7,0,-4.83268591668457,0.03125,-0.0204778156996587,0.0325405290102389,,-0.166666666666667
