player_id,player_display_name,position,position_group,season,week,season_type,game_id,team,opponent_team,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties
00-0026190,Calais Campbell,DE,DL,2024,1,REG,2024_01_JAX_MIA,MIA,JAX,3,0,0,2,14,0,1,13,1,0,0,0,0,0,0
00-0027865,Brandon Graham,DE,DL,2024,1,REG,2024_01_GB_PHI,PHI,GB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00-0027940,Von Miller,OLB,LB,2024,1,REG,2024_01_ARI_BUF,BUF,ARI,2,0,0,1,5,0,1,5,1,0,0,0,0,0,0
00-0027962,Cameron Jordan,LB,LB,2024,1,REG,2024_01_CAR_NO,NO,CAR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00-0027969,Cameron Heyward,DE,DL,2024,1,REG,2024_01_PIT_ATL,PIT,ATL,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
00-0029255,Bobby Wagner,MLB,LB,2024,1,REG,2024_01_WAS_TB,WAS,TB,5,0,5,3,9,0,0,0,0,0,0,0,0,0,0
00-0029542,Stephon Gilmore,CB,DB,2024,1,REG,2024_01_MIN_NYG,MIN,NYG,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00-0029562,Lavonte David,OLB,LB,2024,1,REG,2024_01_WAS_TB,TB,WAS,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
00-0029606,Harrison Smith,FS,DB,2024,1,REG,2024_01_MIN_NYG,MIN,NYG,3,0,4,0,0,0,0,0,0,1,0,1,0,0,0
00-0029607,Demario Davis,OLB,LB,2024,1,REG,2024_01_CAR_NO,NO,CAR,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0
00-0030062,Darius Slay,CB,DB,2024,1,REG,2024_01_GB_PHI,PHI,GB,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
00-0030063,Johnathan Hankins,DT,DL,2024,1,REG,2024_01_DEN_SEA,SEA,DEN,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
00-0030070,John Jenkins,DT,DL,2024,1,REG,2024_01_LV_LAC,LV,LAC,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
00-0030114,Jordan Poyer,FS,DB,2024,1,REG,2024_01_JAX_MIA,MIA,JAX,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
00-0030386,William Gholston,DT,DL,2024,1,REG,2024_01_WAS_TB,TB,WAS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00-0030459,Tyrann Mathieu,FS,DB,2024,1,REG,2024_01_CAR_NO,NO,CAR,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
00-0030757,Mike Pennel,DT,DL,2024,1,REG,2024_01_BAL_KC,KC,BAL,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
00-0031040,Khalil Mack,OLB,LB,2024,1,REG,2024_01_LV_LAC,LAC,LV,1,0,2,1,4,0,1.5,10,2,0,0,1,0,0,0
00-0031054,DaQuan Jones,DT,DL,2024,1,REG,2024_01_ARI_BUF,BUF,ARI,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
00-0031270,Shelby Harris,DE,DL,2024,1,REG,2024_01_DAL_CLE,CLE,DAL,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
00-0031296,C.J. Mosley,ILB,LB,2024,1,REG,2024_01_NYJ_SF,NYJ,SF,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00-0031298,Jimmie Ward,SAF,DB,2024,1,REG,2024_01_HOU_IND,HOU,IND,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
00-0031357,C.J. Goodwin,CB,DB,2024,1,REG,2024_01_DAL_CLE,DAL,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0031360,Kyle Van Noy,MLB,LB,2024,1,REG,2024_01_BAL_KC,BAL,KC,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00-0031364,Jadeveon Clowney,DE,DL,2024,1,REG,2024_01_CAR_NO,CAR,NO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
